term	reading	frequency	kana_frequency
マーガリン	マーガリン	59716	
連絡が付く	れんらくがつく	59717	303605
ギャン	ギャン	59718	
殊勲	しゅくん	59719	115064
行き合う	いきあう	59720	147097
自律神経	じりつしんけい	59721	
金一封	きんいっぷう	59722	
身元確認	みもとかくにん	59723	
探しあてる	さがしあてる	59724	100360
漕ぎ着ける	こぎつける	59725	33174
誇大	こだい	59726	120252
負け知らず	まけしらず	59727	
初挑戦	はつちょうせん	59728	
一宿一飯	いっしゅくいっぱん	59729	286170
芯が強い	しんがつよい	59730	
ピア	ピア	59731	
アイランド	アイランド	59732	
対艦	たいかん	59733	
ベンジャミン	ベンジャミン	59734	
持久	じきゅう	59735	212710
チェコ	チェコ	59736	
殿軍	でんぐん	59737	
調査票	ちょうさひょう	59738	
矍鑠	かくしゃく	59739	80000
掻きまわす	かきまわす	59740	33185
丸刈り	まるがり	59741	
部屋代	へやだい	59742	
技芸	ぎげい	59743	
喚き立てる	わめきたてる	59744	61783
判例	はんれい	59745	203829
自営業	じえいぎょう	59746	
先刻承知	せんこくしょうち	59747	
粗食	そしょく	59748	
立ち食い	たちぐい	59749	261205
小中学生	しょうちゅうがくせい	59750	
舌がもつれる	したがもつれる	59751	
後門	こうもん	59752	
割のいい	わりのいい	59753	214461
ノヴァ	ノヴァ	59754	
トーチ	トーチ	59755	
麝香	じゃこう	59756	
子熊	こぐま	59757	89794
ジュー	ジュー	59758	
神化	しんか	59759	
アミーゴ	アミーゴ	59760	
曲輪	くるわ	59761	46854
労働者階級	ろうどうしゃかいきゅう	59762	
鴎	かもめ	59763	59183
病院長	びょういんちょう	59764	
コンシェルジュ	コンシェルジュ	59765	
上意	じょうい	59766	
襟巻き	えりまき	59767	107187
単語帳	たんごちょう	59768	
布包み	ぬのづつみ	59769	
科捜研	かそうけん	59770	
数寄屋	すきや	59771	231777
上野駅	うえのえき	59772	
屈伏	くっぷく	59773	187989
政治学	せいじがく	59774	
神秘主義	しんぴしゅぎ	59775	
軍事基地	ぐんじきち	59776	
のぼりつめる	のぼりつめる	59777	
ぽちっ	ぽちっ	59778	
ゴ	ゴ	59779	
なめくじ	なめくじ	59780	
ノール	ノール	59781	
だれる	だれる	59782	
ダガ	ダガ	59783	
ばか者	ばかもの	59784	95913
なんであれ	なんであれ	59785	
引っ張りだす	ひっぱりだす	59786	56283
メイジ	メイジ	59787	
お陰さまで	おかげさまで	59788	7686
みせ	みせ	59789	
おからだ	おからだ	59790	
マタ	マタ	59791	
飾りたてる	かざりたてる	59792	139378
肉づき	にくづき	59793	
とんする	とんする	59794	
いんちき	いんちき	59795	
いちども	いちども	59796	
ノンキ	ノンキ	59797	
見うける	みうける	59798	117400
のろう	のろう	59799	
しつよう	しつよう	59800	
かかる	かかる	59801	
故	もと	59802	
ドリア	ドリア	59803	
請負	うけおい	59804	
ゆす	ゆす	59805	
早番	はやばん	59806	
裸電球	はだかでんきゅう	59807	
本の虫	ほんのむし	59808	
中高年	ちゅうこうねん	59809	
描き直し	えがきなおし	59810	
テーマソング	テーマソング	59811	
引き潮	ひきしお	59812	159954
重要書類	じゅうようしょるい	59813	
身空	みそら	59814	122359
見終える	みおえる	59815	279344
バカ高い	バカたかい	59816	
色眼鏡で見る	いろめがねでみる	59817	
エルンスト	エルンスト	59818	
ソ連軍	ソれんぐん	59819	
家鴨	あひる	59820	60500
仕手	して	59821	
ダマスカス	ダマスカス	59822	
遊行	ゆぎょう	59823	137188
神学者	しんがくしゃ	59824	
体技	たいぎ	59825	
女殺し	おんなごろし	59826	296464
甘味処	かんみどころ	59827	
解答用紙	かいとうようし	59828	
古強者	ふるつわもの	59829	143981
ぶち撒ける	ぶちまける	59830	6582
ジンギスカン	ジンギスカン	59831	
血止め	ちどめ	59832	
ワンツー	ワンツー	59833	
売国奴	ばいこくど	59834	
ひょっとこ	ひょっとこ	59835	
側転	そくてん	59836	234927
忠勤	ちゅうきん	59837	
ネットオークション	ネットオークション	59838	
眉を曇らす	まゆをくもらす	59839	263182
日射病	にっしゃびょう	59840	
はたはた	はたはた	59841	
反骨	はんこつ	59842	
思っても見ない	おもってもみない	59843	240088
タイムスケジュール	タイムスケジュール	59844	
僻む	ひがむ	59845	36289
明々	あかあか	59846	
財を成す	ざいをなす	59847	
サービス業	サービスぎょう	59848	
肥やす	こやす	59849	100070
安心安全	あんしんあんぜん	59850	
嘘八百	うそはっぴゃく	59851	283537
過去は過去	かこはかこ	59852	
そつのない	そつのない	59853	
借りっぱなし	かりっぱなし	59854	300743
笑い草	わらいぐさ	59855	227492
尾花	おばな	59856	
Ω	オメガ	59857	42441
ボリス	ボリス	59858	
堀江	ほりえ	59859	196036
コルト	コルト	59860	
寿ぐ	ことほぐ	59861	86171
鉋	かんな	59862	
中央政府	ちゅうおうせいふ	59863	
マグニチュード	マグニチュード	59864	
加盟国	かめいこく	59865	
下げ渡す	さげわたす	59866	181391
にょろ	にょろ	59867	
ナトリウム	ナトリウム	59868	
混淆	こんこう	59869	
兇悪	きょうあく	59870	288024
求刑	きゅうけい	59871	
過疎	かそ	59872	153433
グラマー	グラマー	59873	
わき出る	わきでる	59874	122124
タテ	タテ	59875	
さぶい	さぶい	59876	
どろん	どろん	59877	
だいし	だいし	59878	
裏書き	うらがき	59879	212882
ツウ	ツウ	59880	
赤レンガ	あかレンガ	59881	
わになる	わになる	59882	
うつ病	うつびょう	59883	268841
たいがいにする	たいがいにする	59884	
ゆらい	ゆらい	59885	
大そう	たいそう	59886	13986
念頭におく	ねんとうにおく	59887	
みこし	みこし	59888	
あとまわし	あとまわし	59889	
さし入れる	さしいれる	59890	83434
いかく	いかく	59891	
ひがし	ひがし	59892	
したみ	したみ	59893	
落ち付く	おちつく	59894	21586
はやて	はやて	59895	
マセる	マセる	59896	
ヤブ医者	ヤブいしゃ	59897	
アリガトウ	アリガトウ	59898	
ぐうぜん	ぐうぜん	59899	
ひきずりこむ	ひきずりこむ	59900	
モロ	モロ	59901	
法整備	ほうせいび	59902	
顔触れ	かおぶれ	59903	191854
顛倒	てんとう	59904	304687
脚線美	きゃくせんび	59905	
浮沈	ふちん	59906	193766
老いさらばえる	おいさらばえる	59907	307376
食い合う	くいあう	59908	
御手洗	みたらし	59909	79643
オルトロス	オルトロス	59910	
伏魔殿	ふくまでん	59911	
シヴァ	シヴァ	59912	
自然主義	しぜんしゅぎ	59913	
鋼材	こうざい	59914	
未開拓	みかいたく	59915	314248
畸形	きけい	59916	
陪審員	ばいしんいん	59917	259652
学資	がくし	59918	
火付け	ひつけ	59919	141472
逸早く	いちはやく	59920	55589
マイノリティ	マイノリティ	59921	
妥当性	だとうせい	59922	
密通	みっつう	59923	235154
質に入れる	しちにいれる	59924	
賛成多数	さんせいたすう	59925	
吟じる	ぎんじる	59926	259658
再訪	さいほう	59927	
伝言ゲーム	でんごんゲーム	59928	
顔を売る	かおをうる	59929	
演技派	えんぎは	59930	
イヴァン	イヴァン	59931	
チェイス	チェイス	59932	
法術	ほうじゅつ	59933	258031
区長	くちょう	59934	83708
県知事	けんちじ	59935	
楽士	がくし	59936	
巣箱	すばこ	59937	277238
声楽	せいがく	59938	
株主総会	かぶぬしそうかい	59939	
揺り椅子	ゆりいす	59940	206558
帰朝	きちょう	59941	
一書	いっしょ	59942	
大型車	おおがたしゃ	59943	
ハムエッグ	ハムエッグ	59944	
ギネス	ギネス	59945	
変種	へんしゅ	59946	
しいしい	しいしい	59947	
静穏	せいおん	59948	205409
と言うものは	というものは	59949	2890
身繕い	みづくろい	59950	278568
昼ドラ	ひるドラ	59951	
自然死	しぜんし	59952	
ちゃうちゃう	ちゃうちゃう	59953	
チャーター	チャーター	59954	
ひと足	ひとあし	59955	75907
勧善懲悪	かんぜんちょうあく	59956	266706
飲み代	のみしろ	59957	
身体は正直	からだはしょうじき	59958	
呼びにやる	よびにやる	59959	220289
堪え性	こらえしょう	59960	
考え合わせる	かんがえあわせる	59961	
問題提起	もんだいていき	59962	
アニマ	アニマ	59963	
仙術	せんじゅつ	59964	
シャングリラ	シャングリラ	59965	
東軍	とうぐん	59966	
展望室	てんぼうしつ	59967	
ビルマ	ビルマ	59968	
アンサンブル	アンサンブル	59969	
朝臣	ちょうしん	59970	
翠色	みどりいろ	59971	142976
リベラル	リベラル	59972	
民間伝承	みんかんでんしょう	59973	
商品券	しょうひんけん	59974	
小都市	しょうとし	59975	
空ろ	うつろ	59976	15791
法務省	ほうむしょう	59977	
こいこい	こいこい	59978	
放火魔	ほうかま	59979	
火打石	ひうちいし	59980	125439
メタボ	メタボ	59981	
ラジオ番組	ラジオばんぐみ	59982	
ラグナロク	ラグナロク	59983	
はいかい	はいかい	59984	
サジ	サジ	59985	
ボヤボヤ	ボヤボヤ	59986	
カレーうどん	カレーうどん	59987	
つり橋	つりばし	59988	142723
かちっと	かちっと	59989	
一すじ	ひとすじ	59990	37193
つぎこむ	つぎこむ	59991	
馬鹿にできない	ばかにできない	59992	153526
オシマイ	オシマイ	59993	
煮えくりかえる	にえくりかえる	59994	235844
ウサミミ	ウサミミ	59995	
しょんべん	しょんべん	59996	
ひとりじめ	ひとりじめ	59997	
ばい菌	ばいきん	59998	97310
ナゼ	ナゼ	59999	
いけす	いけす	60000	
忙しい	せわしい	60001	39745
しょ	しょ	60002	
仮	け	60003	
再現性	さいげんせい	60004	
心因	しんいん	60005	
見分	けんぶん	60006	
苦り切る	にがりきる	60007	112245
ノスタルジー	ノスタルジー	60008	
扶養	ふよう	60009	141281
大量出血	たいりょうしゅっけつ	60010	
地獄の釜	じごくのかま	60011	
まぁいっか	まぁいっか	60012	
早回し	はやまわし	60013	
言葉に窮する	ことばにきゅうする	60014	
取って付けたよう	とってつけたよう	60015	46482
シドー	シドー	60016	
ナッシュ	ナッシュ	60017	
官女	かんじょ	60018	
飛翔体	ひしょうたい	60019	
タナカ	タナカ	60020	
神体	しんたい	60021	
罅割れる	ひびわれる	60022	81071
総軍	そうぐん	60023	
ジュネーブ	ジュネーブ	60024	
凱旋門	がいせんもん	60025	169399
年長組	ねんちょうぐみ	60027	
宿業	しゅくごう	60028	125423
自邸	じてい	60029	63396
深傷	ふかで	60030	300154
道路標識	どうろひょうしき	60031	
焼き餅	やきもち	60032	29091
ふほ	ふほ	60033	
イタリア料理	イタリアりょうり	60034	
湿す	しめす	60035	
責め苛む	せめさいなむ	60036	198407
番線	ばんせん	60037	
マッシュポテト	マッシュポテト	60038	
男子用	だんしよう	60039	
前奏	ぜんそう	60040	
引き摺り下ろす	ひきずりおろす	60041	101927
鳴き真似	なきまね	60042	
奇々怪々	ききかいかい	60043	204119
甘いマスク	あまいマスク	60044	228958
見放題	みほうだい	60045	
サリア	サリア	60046	
リュー	リュー	60047	
アナベル	アナベル	60048	
ウィング	ウィング	60049	
扶桑	ふそう	60050	115910
ユウコ	ユウコ	60051	
コンドル	コンドル	60052	
獄舎	ごくしゃ	60053	
カピバラ	カピバラ	60054	
ブラスト	ブラスト	60055	
ボディスーツ	ボディスーツ	60056	
悉皆	しっかい	60057	278062
参議	さんぎ	60058	
伝馬	てんま	60059	
禅僧	ぜんそう	60060	209903
裏木戸	うらきど	60061	
発行所	はっこうしょ	60062	
斬り込み	きりこみ	60063	198030
寄合	よりあい	60064	102358
胃酸	いさん	60065	
売春婦	ばいしゅんふ	60066	
意趣	いしゅ	60067	108450
疾風迅雷	しっぷうじんらい	60068	154013
嗄らす	からす	60069	16489
ピッピ	ピッピ	60070	
資料集	しりょうしゅう	60071	
吸入	きゅうにゅう	60072	254557
及第	きゅうだい	60073	247682
びっこ	びっこ	60074	
きずく	きずく	60075	
やせっぽち	やせっぽち	60077	
とり囲む	とりかこむ	60078	40594
かけはなれる	かけはなれる	60079	
ばく大	ばくだい	60080	77537
わだち	わだち	60081	
わがもの	わがもの	60082	
シューマイ	シューマイ	60083	
なりだす	なりだす	60084	
かくべつ	かくべつ	60085	
はね上げる	はねあげる	60086	63183
わかば	わかば	60087	
バルス	バルス	60088	
みかた	みかた	60089	
どくろ	どくろ	60090	
ふたご	ふたご	60091	
ものがたり	ものがたり	60092	
のろけ話	のろけばなし	60093	
あえる	あえる	60094	
はいよう	はいよう	60095	
ようか	ようか	60096	
ぜんそく	ぜんそく	60097	
平次	へいじ	60098	
清盛	きよもり	60099	
ことにすると	ことにすると	60100	
命	みこと	60101	50477
タイピング	タイピング	60102	
スキンケア	スキンケア	60103	
鋳る	いる	60104	
公立高校	こうりつこうこう	60105	
変ずる	へんずる	60106	306271
霊験あらたか	れいげんあらたか	60107	
内向き	うちむき	60108	
叩き殺す	たたきころす	60109	
図工	ずこう	60110	108523
訪問先	ほうもんさき	60111	
この内	このうち	60112	8188
絶えることなく	たえることなく	60113	259950
舌が肥える	したがこえる	60114	
病に冒される	やまいにおかされる	60115	
心の壁	こころのかべ	60116	
マリス	マリス	60117	
キュイ	キュイ	60118	
ウンチ	ウンチ	60119	
非処女	ひしょじょ	60120	
ペリー	ペリー	60121	
立太子	りったいし	60122	
手掛り	てがかり	60123	128782
節電	せつでん	60124	
入国審査	にゅうこくしんさ	60125	
追い追い	おいおい	60126	23301
ケシ	ケシ	60127	
小遣	こづかい	60128	58885
閾	しきい	60129	57500
内輪揉め	うちわもめ	60130	
運命の赤い糸	うんめいのあかいいと	60131	
格好付ける	かっこうつける	60132	151005
植樹	しょくじゅ	60133	
性生活	せいせいかつ	60134	229505
先々月	せんせんげつ	60135	
ほぞ	ほぞ	60136	
無給	むきゅう	60137	
公衆トイレ	こうしゅうトイレ	60138	
歩数	ほすう	60139	179538
のんびり屋	のんびりや	60140	144200
事の起こり	ことのおこり	60141	202259
幸あれ	さちあれ	60142	304922
弁証法的	べんしょうほうてき	60143	
鯛焼き	たいやき	60144	93606
西軍	せいぐん	60145	
石見	いわみ	60146	234152
基地局	きちきょく	60147	
モノクル	モノクル	60148	
くぱぁ	くぱぁ	60149	
アダルトビデオ	アダルトビデオ	60150	
組手	くみて	60152	
人的資源	じんてきしげん	60153	
コサージュ	コサージュ	60154	
ルールブック	ルールブック	60155	
人相書き	にんそうがき	60156	
肩当て	かたあて	60157	297362
服飾店	ふくしょくてん	60158	
皮下	ひか	60159	49855
同窓生	どうそうせい	60160	
秘中の秘	ひちゅうのひ	60161	
虚無的	きょむてき	60162	239777
放縦	ほうじゅう	60163	109613
にちゃにちゃ	にちゃにちゃ	60164	
適正価格	てきせいかかく	60165	
歴々	れきれき	60166	163933
一本化	いっぽんか	60167	
片道切符	かたみちきっぷ	60168	
ひっつめる	ひっつめる	60169	
人権侵害	じんけんしんがい	60170	
正しい行い	ただしいおこない	60171	
叶わぬ夢	かなわぬゆめ	60172	
出し渋る	だししぶる	60173	
買いつけ	かいつけ	60174	282887
もちあがる	もちあがる	60175	
ラン	ラン	60176	
じゃこう	じゃこう	60177	
ハンパじゃない	ハンパじゃない	60178	
バンコク	バンコク	60179	
とうか	とうか	60180	
帽子をとる	ぼうしをとる	60181	255550
ひっぱり出す	ひっぱりだす	60182	56283
めいる	めいる	60183	
忠勝	ただかつ	60184	
にぎにぎしい	にぎにぎしい	60185	
鳴りっぱなし	なりっぱなし	60186	103378
ふき	ふき	60187	
高１	こういち	60188	
おみえになる	おみえになる	60189	
タクミ	タクミ	60190	
サカナ	サカナ	60191	
のりこえる	のりこえる	60192	
サナギ	サナギ	60193	
ぞんぶん	ぞんぶん	60194	
シラミ	シラミ	60195	
イチオシ	イチオシ	60196	
ブルリ	ブルリ	60197	
ウメ	ウメ	60198	
かわや	かわや	60199	
クラッと	クラッと	60200	
横道	よこみち	60201	311337
樵	きこり	60202	58876
深化	しんか	60203	
縷々	るる	60204	
双翼	そうよく	60205	
聖天	しょうてん	60206	
バスター	バスター	60207	
一男	いちなん	60208	277175
鞍上	あんじょう	60209	
ビデオデッキ	ビデオデッキ	60210	
兄嫁	あによめ	60211	68988
点てる	たてる	60212	
保健医	ほけんい	60213	
スクールカースト	スクールカースト	60214	
控訴	こうそ	60215	
花やか	はなやか	60216	52495
去就	きょしゅう	60217	117757
根差す	ねざす	60218	234479
天日干し	てんぴぼし	60219	313247
理数	りすう	60220	214948
箱形	はこがた	60221	
バリン	バリン	60222	
大噴火	だいふんか	60223	
蹴り込む	けりこむ	60224	227762
隔て	へだて	60225	90599
第一条件	だいいちじょうけん	60226	
病は気から	やまいはきから	60227	
都合をつける	つごうをつける	60228	246428
リシャール	リシャール	60229	
セイラ	セイラ	60230	
夢路	ゆめじ	60231	210949
チクタク	チクタク	60232	
エッフェル塔	エッフェルとう	60233	
オーギュスト	オーギュスト	60234	
スギ	スギ	60235	
如意	にょい	60236	276874
矢弾	やだま	60237	
画商	がしょう	60238	258727
打線	だせん	60239	233807
万両	まんりょう	60240	
堂上	どうじょう	60241	
掛布団	かけぶとん	60242	278784
音楽隊	おんがくたい	60243	
夜会服	やかいふく	60244	
市場価格	しじょうかかく	60245	
共演者	きょうえんしゃ	60246	
メリーゴーラウンド	メリーゴーラウンド	60247	
世話人	せわにん	60248	
初物	はつもの	60249	202773
保冷剤	ほれいざい	60250	
低コスト	ていコスト	60252	
身を躱す	みをかわす	60253	293365
大津波	おおつなみ	60254	153598
愛読者	あいどくしゃ	60255	
エンドロール	エンドロール	60256	
売り出し中	うりだしちゅう	60257	
走り過ぎる	はしりすぎる	60258	289050
眉唾物	まゆつばもの	60259	168288
住みにくい	すみにくい	60260	249435
宝物殿	ほうもつでん	60261	
カーボン	カーボン	60262	
マクシム	マクシム	60263	
夜天	やてん	60264	
観音堂	かんのんどう	60265	205090
帽子屋	ぼうしや	60266	
讃美歌	さんびか	60267	194790
バクテリア	バクテリア	60268	
北斗七星	ほくとしちせい	60269	
同氏	どうし	60270	
土瓶	どびん	60271	120373
健康食品	けんこうしょくひん	60272	
詰め襟	つめえり	60273	124366
言祝ぐ	ことほぐ	60274	86171
夜のとばり	よるのとばり	60275	
したのかい	したのかい	60276	
ふぐう	ふぐう	60277	
けやき	けやき	60278	
体する	たいする	60279	
モミモミ	モミモミ	60280	
はじっこ	はじっこ	60281	
岩井	いわい	60282	
ゆらめき	ゆらめき	60283	
まどわす	まどわす	60284	
ぶぎ	ぶぎ	60285	
かけまわる	かけまわる	60286	
りさ	りさ	60287	
キヨ	キヨ	60288	
たかがしれる	たかがしれる	60289	
ヶ国	かこく	60290	
とぎ	とぎ	60291	
神る	かみる	60292	48117
もうしわけありません	もうしわけありません	60293	
おさまり	おさまり	60294	
ジュウ	ジュウ	60295	
ヒイラギ	ヒイラギ	60296	
悪口をいう	わるぐちをいう	60297	309473
ひき起こす	ひきおこす	60298	57200
引きもどす	ひきもどす	60299	74791
つつみこむ	つつみこむ	60300	
字	あざ	60301	
共同経営	きょうどうけいえい	60302	269329
撓む	たわむ	60303	25891
物置き	ものおき	60304	140656
不倶戴天の敵	ふぐたいてんのてき	60305	
年若	としわか	60306	
洗髪	せんぱつ	60307	
検温	けんおん	60308	
運営会社	うんえいがいしゃ	60309	
味をつける	あじをつける	60310	310617
下限	かげん	60311	
綯い交ぜ	ないまぜ	60312	42283
息が掛かる	いきがかかる	60314	
一人占め	ひとりじめ	60315	59997
輪唱	りんしょう	60316	80105
再々	さいさい	60317	112000
モーニングコール	モーニングコール	60318	
真夏日	まなつび	60319	
目を掛ける	めをかける	60320	186503
貧者	ひんじゃ	60321	196535
申し述べる	もうしのべる	60322	246029
壁の花	かべのはな	60323	
ヤレ	ヤレ	60324	
何かにつけ	なにかにつけ	60325	55890
運命の悪戯	うんめいのいたずら	60326	
ベタ褒め	ベタぼめ	60327	193069
飽和状態	ほうわじょうたい	60328	
ごった煮	ごったに	60329	
悪しからず	あしからず	60330	48795
満員御礼	まんいんおんれい	60331	
ジャッキー	ジャッキー	60332	
惟	これ	60333	34
安保	あんぽ	60334	
遣い手	つかいて	60335	
乗艦	じょうかん	60336	
植物学	しょくぶつがく	60337	
インターナショナル	インターナショナル	60339	
タロットカード	タロットカード	60340	
撥ね返す	はねかえす	60341	70988
妹御	いもうとご	60342	195227
カラット	カラット	60343	
プリティ	プリティ	60344	
ミトン	ミトン	60345	
通学鞄	つうがくかばん	60346	
登山者	とざんしゃ	60347	
正常位	せいじょうい	60348	
申込書	もうしこみしょ	60349	
生け花	いけばな	60350	112397
事業計画	じぎょうけいかく	60351	
家電量販店	かでんりょうはんてん	60352	
木偶の坊	でくのぼう	60353	73888
貧乏揺すり	びんぼうゆすり	60354	265243
堆	たい	60355	
ニッチ	ニッチ	60356	
熱いものが込み上げる	あついものがこみあげる	60357	203062
一日千秋	いちじつせんしゅう	60358	251135
ティッシュペーパー	ティッシュペーパー	60359	
ワンフロア	ワンフロア	60360	
欲目	よくめ	60361	
冷血漢	れいけつかん	60362	277259
口火	くちび	60364	
時間を守る	じかんをまもる	60365	
一石を投じる	いっせきをとうじる	60366	
シャール	シャール	60367	
霜月	しもつき	60368	167627
雪洞	ぼんぼり	60369	69797
サンライズ	サンライズ	60370	
国境警備隊	こっきょうけいびたい	60371	
屹度	きっと	60372	210
ハゼ	ハゼ	60373	
強盗団	ごうとうだん	60374	
胸壁	きょうへき	60375	
門松	かどまつ	60376	197231
矢文	やぶみ	60377	
杉林	すぎばやし	60378	281566
鉄砲水	てっぽうみず	60379	
煙草屋	たばこや	60380	
ポジショニング	ポジショニング	60381	
滝に打たれる	たきにうたれる	60382	
乾パン	かんパン	60383	
バージンロード	バージンロード	60384	
ぬるめる	ぬるめる	60385	
さしむける	さしむける	60386	
まっくろ	まっくろ	60387	
いきる	いきる	60389	
おみ	おみ	60390	
射ぬく	いぬく	60391	130632
にん	にん	60392	
マカオ	マカオ	60393	
おびきよせる	おびきよせる	60394	
ますますもって	ますますもって	60395	
ちょく	ちょく	60396	
じゃく	じゃく	60397	
ばか野郎	ばかやろう	60398	53586
ザン	ザン	60399	
タッタ	タッタ	60400	
ひし	ひし	60401	
アバンチュール	アバンチュール	60402	
虚弱体質	きょじゃくたいしつ	60403	303374
贔屓目に見る	ひいきめにみる	60404	272094
会社経営	かいしゃけいえい	60405	
心に描く	こころにえがく	60406	
引き換える	ひきかえる	60407	56084
儀式的	ぎしきてき	60408	
間を持つ	まをもつ	60409	250102
一生もの	いっしょうもの	60410	
ラサ	ラサ	60411	
ユーマ	ユーマ	60412	
ＧＨＱ	ジーエッチキュー	60413	
ソレイユ	ソレイユ	60414	
ラビリンス	ラビリンス	60415	
提案書	ていあんしょ	60416	
スチーム	スチーム	60417	
ハヤシライス	ハヤシライス	60418	
チャカ	チャカ	60419	
管制塔	かんせいとう	60420	
王将	おうしょう	60421	187300
方形	ほうけい	60422	269704
発禁	はっきん	60423	190529
当校	とうこう	60424	
給付	きゅうふ	60425	
焼き印	やきいん	60426	
内角	ないかく	60427	
ピンポン球	ピンポンだま	60428	
〆る	しめる	60429	
浮き上る	うきあがる	60430	86446
三和土	たたき	60431	
重ね掛ける	かさねかける	60432	
抱え	かかえ	60433	93783
登記	とうき	60434	165459
野菜類	やさいるい	60435	
窶れる	やつれる	60436	12597
スポーツ新聞	スポーツしんぶん	60437	
摘まみ上げる	つまみあげる	60438	38894
はぐる	はぐる	60439	
木肌	きはだ	60440	
再発行	さいはっこう	60441	
暗然	あんぜん	60442	
悪習	あくしゅう	60443	
後ろ回し蹴り	うしろまわしげり	60444	
四桁	よけた	60445	
生皮	なまかわ	60446	164339
女ったらし	おんなったらし	60447	248138
晩春	ばんしゅん	60448	230282
実況中継	じっきょうちゅうけい	60449	278873
血税	けつぜい	60450	
一丁上がり	いっちょうあがり	60451	183382
誘いかける	さそいかける	60452	141452
止めになる	やめになる	60453	44589
慣れっこになる	なれっこになる	60454	136563
趣向を変えて	しゅこうをかえて	60455	
貴種	きしゅ	60456	
旅行券	りょこうけん	60457	269496
軍令	ぐんれい	60458	267412
ポッキー	ポッキー	60459	
京浜	けいひん	60460	
年賀	ねんが	60461	161850
鶏小屋	にわとりごや	60462	
基底	きてい	60463	
どじょう	どじょう	60464	
殴り付ける	なぐりつける	60465	57788
投稿者	とうこうしゃ	60466	
佐賀県	さがけん	60467	
バージン	バージン	60468	
若芽	わかめ	60469	
号令一下	ごうれいいっか	60470	
あんじょう	あんじょう	60471	
へちま	へちま	60472	
魅かれる	ひかれる	60473	
表口	おもてぐち	60474	
コールタール	コールタール	60475	
縁切り	えんきり	60476	199802
重要文化財	じゅうようぶんかざい	60477	
調査書	ちょうさしょ	60478	
裏ルート	うらルート	60479	
詩を作る	しをつくる	60480	
フナ	フナ	60481	
だまくらかす	だまくらかす	60482	
いたで	いたで	60483	
さのみ	さのみ	60484	
ちゅうもん	ちゅうもん	60485	
そのさき	そのさき	60486	
飛込む	とびこむ	60487	28583
てんぐ	てんぐ	60488	
はかく	はかく	60489	
白子	しらこ	60490	247631
ぶれ	ぶれ	60491	
引っさげる	ひっさげる	60492	48293
ひもとく	ひもとく	60493	
なげく	なげく	60494	
はやしたてる	はやしたてる	60495	
痴話ゲンカ	ちわゲンカ	60496	286114
やんか	やんか	60497	
ごて	ごて	60498	
絵をかく	えをかく	60499	154198
あひる	あひる	60500	
混じる	こんじる	60501	140880
皺	しぼ	60502	
手水	てみず	60503	
アニメ映画	アニメえいが	60504	
新境地	しんきょうち	60505	
青痣	あおあざ	60506	198966
昔風	むかしふう	60507	200241
水で薄める	みずでうすめる	60508	
殺しても死なない	ころしてもしなない	60509	
グサッと	グサッと	60510	
板に付く	いたにつく	60511	261705
意識を変える	いしきをかえる	60512	
流浪の民	るろうのたみ	60513	
数理	すうり	60514	315242
育休	いくきゅう	60515	
未確認生物	みかくにんせいぶつ	60516	
教員室	きょういんしつ	60517	
ヘブン	ヘブン	60518	
乗馬服	じょうばふく	60519	
猶更	なおさら	60520	4893
譲位	じょうい	60521	
電子マネー	でんしマネー	60522	
盗掘	とうくつ	60523	312780
バランサー	バランサー	60524	
魔女裁判	まじょさいばん	60525	248574
用地	ようち	60526	
内部告発	ないぶこくはつ	60527	
プリーツ	プリーツ	60528	
ばっさばっさ	ばっさばっさ	60529	
簡易版	かんいばん	60530	
熟語	じゅくご	60531	
憩う	いこう	60532	51591
シャカシャカ	シャカシャカ	60533	
無目的	むもくてき	60534	
侵略行為	しんりゃくこうい	60535	
霧吹き	きりふき	60536	271153
パカパカ	パカパカ	60537	
常緑樹	じょうりょくじゅ	60538	281280
突き合う	つきあう	60539	
先を争って	さきをあらそって	60540	203528
変われば変わる	かわればかわる	60541	292717
穴開け	あなあけ	60542	301678
風靡	ふうび	60543	91553
プリズン	プリズン	60544	
ノルン	ノルン	60545	
アンバー	アンバー	60546	
薊	あざみ	60547	68997
麿	まろ	60548	35697
麗子	れいこ	60549	
マリリン	マリリン	60550	
スラスター	スラスター	60552	
樺太	からふと	60553	137706
トルク	トルク	60554	
風防	ふうぼう	60555	
接舷	せつげん	60556	
引っ繰り返る	ひっくりかえる	60557	36194
中学受験	ちゅうがくじゅけん	60558	
退会	たいかい	60559	253207
サプリ	サプリ	60560	
モロッコ	モロッコ	60561	
傍聴席	ぼうちょうせき	60562	294631
びたん	びたん	60563	
首切り	くびきり	60564	
気管支	きかんし	60565	
足回り	あしまわり	60566	296413
柿の木	かきのき	60567	
一班	いっぱん	60568	
皮剥	かわはぎ	60569	257788
高三	こうさん	60570	
大型化	おおがたか	60571	
瀕死状態	ひんしじょうたい	60572	
教員免許	きょういんめんきょ	60573	
キャッシュカード	キャッシュカード	60574	
たんび	たんび	60575	
没交渉	ぼっこうしょう	60576	
砂遊び	すなあそび	60577	
先祖伝来	せんぞでんらい	60578	
一心に	いっしんに	60579	106738
きめつける	きめつける	60580	
ムンムン	ムンムン	60581	
つうか	つうか	60582	
通いつめる	かよいつめる	60583	204450
こと切れる	こときれる	60584	79423
ひょうし	ひょうし	60585	
もり	もり	60586	
しゃらく	しゃらく	60587	
